CUSTOMER_NUMBER,FIN_PERIOD,TOTAL_DUE,AMT_CURRENT,AMT_DAYS_BUCKETS
AACJ01,2018-10-01,912.0,456.0,"{""AMT_30_DAYS"": 0.0, ""AMT_60_DAYS"": 0.0, ""AMT_90_DAYS"": 0.0, ""AMT_120_DAYS"": 0.0, ""AMT_150_DAYS"": 0.0, ""AMT_180_DAYS"": 0.0, ""AMT_210_DAYS"": 0.0, ""AMT_240_DAYS"": 0.0, ""AMT_270_DAYS"": 0.0, ""AMT_300_DAYS"": 0.0, ""AMT_330_DAYS"": 0.0, ""AMT_360_DAYS"": 0.0}"
AACJ01,2018-11-01,912.0,0.0,"{""AMT_30_DAYS"": 456.0, ""AMT_60_DAYS"": 0.0, ""AMT_90_DAYS"": 0.0, ""AMT_120_DAYS"": 0.0, ""AMT_150_DAYS"": 0.0, ""AMT_180_DAYS"": 0.0, ""AMT_210_DAYS"": 0.0, ""AMT_240_DAYS"": 0.0, ""AMT_270_DAYS"": 0.0, ""AMT_300_DAYS"": 0.0, ""AMT_330_DAYS"": 0.0, ""AMT_360_DAYS"": 0.0}"
AACJ01,2018-12-01,912.0,0.0,"{""AMT_30_DAYS"": 0.0, ""AMT_60_DAYS"": 456.0, ""AMT_90_DAYS"": 0.0, ""AMT_120_DAYS"": 0.0, ""AMT_150_DAYS"": 0.0, ""AMT_180_DAYS"": 0.0, ""AMT_210_DAYS"": 0.0, ""AMT_240_DAYS"": 0.0, ""AMT_270_DAYS"": 0.0, ""AMT_300_DAYS"": 0.0, ""AMT_330_DAYS"": 0.0, ""AMT_360_DAYS"": 0.0}"
AACJ01,2019-01-01,912.0,0.0,"{""AMT_30_DAYS"": 0.0, ""AMT_60_DAYS"": 0.0, ""AMT_90_DAYS"": 456.0, ""AMT_120_DAYS"": 0.0, ""AMT_150_DAYS"": 0.0, ""AMT_180_DAYS"": 0.0, ""AMT_210_DAYS"": 0.0, ""AMT_240_DAYS"": 0.0, ""AMT_270_DAYS"": 0.0, ""AMT_300_DAYS"": 0.0, ""AMT_330_DAYS"": 0.0, ""AMT_360_DAYS"": 0.0}"
AACJ01,2019-02-01,926.64,7.32,"{""AMT_30_DAYS"": 0.0, ""AMT_60_DAYS"": 0.0, ""AMT_90_DAYS"": 0.0, ""AMT_120_DAYS"": 456.0, ""AMT_150_DAYS"": 0.0, ""AMT_180_DAYS"": 0.0, ""AMT_210_DAYS"": 0.0, ""AMT_240_DAYS"": 0.0, ""AMT_270_DAYS"": 0.0, ""AMT_300_DAYS"": 0.0, ""AMT_330_DAYS"": 0.0, ""AMT_360_DAYS"": 0.0}"
AACJ01,2019-03-01,941.28,7.32,"{""AMT_30_DAYS"": 7.32, ""AMT_60_DAYS"": 0.0, ""AMT_90_DAYS"": 0.0, ""AMT_120_DAYS"": 0.0, ""AMT_150_DAYS"": 456.0, ""AMT_180_DAYS"": 0.0, ""AMT_210_DAYS"": 0.0, ""AMT_240_DAYS"": 0.0, ""AMT_270_DAYS"": 0.0, ""AMT_300_DAYS"": 0.0, ""AMT_330_DAYS"": 0.0, ""AMT_360_DAYS"": 0.0}"
AACJ01,2019-04-01,955.92,7.32,"{""AMT_30_DAYS"": 7.32, ""AMT_60_DAYS"": 7.32, ""AMT_90_DAYS"": 0.0, ""AMT_120_DAYS"": 0.0, ""AMT_150_DAYS"": 0.0, ""AMT_180_DAYS"": 456.0, ""AMT_210_DAYS"": 0.0, ""AMT_240_DAYS"": 0.0, ""AMT_270_DAYS"": 0.0, ""AMT_300_DAYS"": 0.0, ""AMT_330_DAYS"": 0.0, ""AMT_360_DAYS"": 0.0}"
AACJ01,2019-05-01,970.56,7.32,"{""AMT_30_DAYS"": 7.32, ""AMT_60_DAYS"": 7.32, ""AMT_90_DAYS"": 7.32, ""AMT_120_DAYS"": 0.0, ""AMT_150_DAYS"": 0.0, ""AMT_180_DAYS"": 0.0, ""AMT_210_DAYS"": 456.0, ""AMT_240_DAYS"": 0.0, ""AMT_270_DAYS"": 0.0, ""AMT_300_DAYS"": 0.0, ""AMT_330_DAYS"": 0.0, ""AMT_360_DAYS"": 0.0}"
AACJ01,2019-06-01,985.41,7.43,"{""AMT_30_DAYS"": 7.32, ""AMT_60_DAYS"": 7.32, ""AMT_90_DAYS"": 7.32, ""AMT_120_DAYS"": 7.31, ""AMT_150_DAYS"": 0.0, ""AMT_180_DAYS"": 0.0, ""AMT_210_DAYS"": 0.0, ""AMT_240_DAYS"": 456.0, ""AMT_270_DAYS"": 0.0, ""AMT_300_DAYS"": 0.0, ""AMT_330_DAYS"": 0.0, ""AMT_360_DAYS"": 0.0}"
AACJC2,2018-10-01,42582.0,21291.0,"{""AMT_30_DAYS"": 0.0, ""AMT_60_DAYS"": 0.0, ""AMT_90_DAYS"": 0.0, ""AMT_120_DAYS"": 0.0, ""AMT_150_DAYS"": 0.0, ""AMT_180_DAYS"": 0.0, ""AMT_210_DAYS"": 0.0, ""AMT_240_DAYS"": 0.0, ""AMT_270_DAYS"": 0.0, ""AMT_300_DAYS"": 0.0, ""AMT_330_DAYS"": 0.0, ""AMT_360_DAYS"": 0.0}"
