CUSTOMER_NUMBER,CCAT_CODE,REGION_CODE,REP_CODE,SETTLE_TERMS,NORMAL_PAYTERMS,DISCOUNT,CREDIT_LIMIT,REP_DESC,COMM_METHOD,COMMISSION,REP_DESC_CLEAN,REP_GROUP,PARAMETER,REGION_DESC,PROVINCE,CCAT_DESC,CCAT_GROUP
AACJ01,21,25b,ZZZ5,0,90,0,999999,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AACJC1,21,25b,ZZZ5,0,120,0,999999,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AACJC2,5,20a,CONS4,0,120,0,999999,CONSIGNMENTS BM,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Unknown,Unknown,Unknown,Consignment,Channel: Consignment
AADPRG,6,21a,XX,0,120,0,999999,HOUSE CONSIGNMENTS,Gross Profit,0.0,CONSIGNMENT,Channel: Consignment,Unknown,Unknown,Unknown,Advertising Appro,Internal: Advertising
AAMI01,41,10a,02,0,120,0,2000,R,Sales,0.5,R,Sales Rep,Unknown,Durban,KwaZulu-Natal,Unknown,Unknown
AAVN01,21,25b,ZZZ5,0,120,0,500,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ABHG01,49,10a,02,0,120,0,1500,R,Sales,0.5,R,Sales Rep,Unknown,Durban,KwaZulu-Natal,Unknown,Unknown
ABHG02,39,6a,04,0,120,0,2500,BM,Sales,0.5,BM,Sales Rep,Unknown,East Cape,Eastern Cape,Unknown,Unknown
ABHN01,49,10a,02,0,120,0,1500,R,Sales,0.5,R,Sales Rep,Unknown,Durban,KwaZulu-Natal,Unknown,Unknown
ABHN02,41,10a,02,0,30,0,500,R,Sales,0.5,R,Sales Rep,Unknown,Durban,KwaZulu-Natal,Unknown,Unknown
ABLA01,21,25b,ZZZ5,0,120,0,3000,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ABLE01,21,25b,ZZZ,0,120,0,500,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ABRC01,31,8a,06,0,120,0,3000,DA,Sales,0.0,DA,Sales Rep,Unknown,Gauteng E - Alberton/Benoni/Kempton,Gauteng,Unknown,Unknown
ABRD01,39,6a,04,0,120,0,2000,BM,Sales,0.5,BM,Sales Rep,Unknown,East Cape,Eastern Cape,Unknown,Unknown
ACHB01,4,1b,03,0,120,0,1000,BJ,Sales,0.5,BJ,Sales Rep,Unknown,Pretoria North/South/West,Gauteng,Unknown,Unknown
ACHBC1,5,20a,CON3S,0,120,0,999999,CONSIGNMENT BJ/STAND,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Unknown,Unknown,Unknown,Consignment,Channel: Consignment
ACHD01,21,25b,ZZZ5,0,120,0,2000,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ACHP01,14,3b,06,0,120,0,12000,DA,Sales,0.0,DA,Sales Rep,Unknown,Johannesburg CBD,Gauteng,Unknown,Unknown
ACHR01,20,25a,CITC,0,120,0,3000,C-  ITC,Sales,0.5,Unknown,Unclassified_Missing_Data,Unknown,Unknown,Unknown,Unknown,Unknown
ACHR02,4,1b,03,0,120,0,999999,BJ,Sales,0.5,BJ,Sales Rep,Unknown,Pretoria North/South/West,Gauteng,Unknown,Unknown
ACHT01,21,25b,ZZZ5,0,120,0,3000,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ACHU01,20,25a,CITC,0,120,0,4000,C-  ITC,Sales,0.5,Unknown,Unclassified_Missing_Data,Unknown,Unknown,Unknown,Unknown,Unknown
ACHV01,43,3a,05,0,120,0,2500,RL,Sales,0.5,RL,Sales Rep,Unknown,Soweto/Lenasia,Gauteng,Unknown,Unknown
ACHVC1,5,20a,CONS5,0,30,0,999999,CONSIGNMENTS HO,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Unknown,Unknown,Unknown,Consignment,Channel: Consignment
ACHVOC,21,25b,ZZZ5,0,120,0,999999,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ACLS01,20,25a,ZZZ2,0,120,0,0,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ACLS02,39,6a,02,0,30,0,10000,R,Sales,0.5,R,Sales Rep,Unknown,East Cape,Eastern Cape,Unknown,Unknown
ACLS03,37,11a,03,0,60,0,999999,BJ,Sales,0.5,BJ,Sales Rep,Unknown,Free State / Lesotho,Free State,Unknown,Unknown
ACLSC1,5,20a,ZZZ5,0,30,0,999999,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Consignment,Channel: Consignment
ACLSOC,21,25b,ZZZ5,0,120,0,999999,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ADIM01,45,2a,05,0,120,0,2000,RL,Sales,0.5,RL,Sales Rep,Unknown,Vaal Triangle,Gauteng,Unknown,Unknown
ADIMOC,5,20a,STAND,0,120,0,999999,STAND-60PC CONSIGNMENT,Gross Profit,0.0,CONSIGNMENT_STANDS,Channel: Consignment,Unknown,Unknown,Unknown,Consignment,Channel: Consignment
ADJG01,21,25b,ZZZ5,0,120,0,999999,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AEVN01,21,25b,ZZZ5,0,120,0,2000,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AFRM01,30,7a,05,0,120,0,15000,RL,Sales,0.5,RL,Sales Rep,Unknown,Gauteng N - Sandton,Gauteng,Unknown,Unknown
AFRM02,30,7a,05,0,120,0,7500,RL,Sales,0.5,RL,Sales Rep,Unknown,Gauteng N - Sandton,Gauteng,Unknown,Unknown
AFRM03,21,25b,ZZZ5,0,120,0,5000,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AFRM05,2,1a,03,0,120,0,10000,BJ,Sales,0.5,BJ,Sales Rep,Unknown,Pretoria Central,Gauteng,Unknown,Unknown
AFRM06,21,25b,ZZZ5,0,120,0,10000,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AFRM07,36,7c,05,0,120,0,3000,RL,Sales,0.5,RL,Sales Rep,Unknown,Gauteng N - Eastgate/Norwood/Midrand,Gauteng,Unknown,Unknown
AFRM08,43,3a,05,0,120,0,1500,RL,Sales,0.5,RL,Sales Rep,Unknown,Soweto/Lenasia,Gauteng,Unknown,Unknown
AFRM09,21,25b,ZZZ2,0,120,0,0,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AFRM10,30,7a,05,0,120,0,10000,RL,Sales,0.5,RL,Sales Rep,Unknown,Gauteng N - Sandton,Gauteng,Unknown,Unknown
AFRMC1,5,20a,CONS5,0,60,0,999999,CONSIGNMENTS HO,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Unknown,Unknown,Unknown,Consignment,Channel: Consignment
AFRMOC,5,20a,ZZZ5,0,30,0,999999,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Consignment,Channel: Consignment
AFRN01,5,20a,CONS2,0,120,0,999999,CONSIGNMENTS DE,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Unknown,Unknown,Unknown,Consignment,Channel: Consignment
AFRN02,21,25b,ZZZ5,0,120,0,5000,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AFRN03,20,25a,ZZZ4,0,120,0,1000,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AFRN04,20,25a,ZZZ2,0,120,0,3000,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AFRN05,36,7c,05C,0,120,0,10000,RL CONSIGNMENT SALES ACC,Sales,0.5,RL,Sales Rep,Unknown,Gauteng N - Eastgate/Norwood/Midrand,Gauteng,Unknown,Unknown
AFRNOC,5,20a,CONS5,0,30,0,10000,CONSIGNMENTS HO,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Unknown,Unknown,Unknown,Consignment,Channel: Consignment
AGQD01,20,25a,ZZZ3,0,120,0,10000,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AGRN01,1,9a,01,0,60,0,999999,HEAD OFFICE,Sales,0.0,HEAD OFFICE,Internal Sales,Unknown,Unknown,Unknown,House accounts,Internal: House Account
AGRNC1,5,20a,CONS5,0,60,0,999999,CONSIGNMENTS HO,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Unknown,Unknown,Unknown,Consignment,Channel: Consignment
AGRY01,46,2b,05,0,120,0,5000,RL,Sales,0.5,RL,Sales Rep,Unknown,Krugersdorp / Sun City,North West,Unknown,Unknown
